COM,NCOM,NREG,F65-79,F80+,H65-79,H80+,latitude,longitude
1061,Brens,Auvergne-Rhône-Alpes,99,17,105.0,12.0,45.7135069062,5.68998154517
1062,Bressolles,Auvergne-Rhône-Alpes,61,12,55.0,17.0,45.869423064,5.1009428902
1062,Bressolles,Auvergne-Rhône-Alpes,61,12,55.0,17.0,45.869423064,5.1009428902
1063,Brion,Auvergne-Rhône-Alpes,51,12,60.0,10.0,46.1686327301,5.54656422194
1064,Briord,Auvergne-Rhône-Alpes,45,16,52.0,6.0,45.7708330939,5.48537461884
1065,Buellas,Auvergne-Rhône-Alpes,140,45,143.0,31.0,46.2104135162,5.14487465017
1065,Buellas,Auvergne-Rhône-Alpes,140,45,143.0,31.0,46.2104135162,5.14487465017
1066,La Burbanche,Auvergne-Rhône-Alpes,5,1,8.0,1.0,45.8598709332,5.54609714598
1067,Ceignes,Auvergne-Rhône-Alpes,9,2,12.0,1.0,46.1256533435,5.49457379202
1068,Cerdon,Auvergne-Rhône-Alpes,50,62,50.0,19.0,46.0720202633,5.47577586118
1069,Certines,Auvergne-Rhône-Alpes,93,21,84.0,17.0,46.1337950959,5.26239539372
1071,Cessy,Auvergne-Rhône-Alpes,201,44,158.0,35.0,46.315689376,6.0779844362
1072,Ceyzériat,Auvergne-Rhône-Alpes,252,140,185.0,78.0,46.1832170988,5.32007207542
1073,Ceyzérieu,Auvergne-Rhône-Alpes,91,27,102.0,24.0,45.8335530148,5.71933090966
1074,Chalamont,Auvergne-Rhône-Alpes,152,137,133.0,73.0,46.0076491739,5.16936568
1075,Chaleins,Auvergne-Rhône-Alpes,80,14,76.0,10.0,46.0340545373,4.79853838574
1076,Chaley,Auvergne-Rhône-Alpes,17,5,16.0,3.0,45.9533367734,5.53682505273
1077,Challes-la-Montagne,Auvergne-Rhône-Alpes,14,7,13.0,3.0,46.1221539654,5.45755377201
1078,Challex,Auvergne-Rhône-Alpes,93,67,75.0,30.0,46.1768358327,5.97115092939
1079,Champagne-en-Valromey,Auvergne-Rhône-Alpes,61,89,77.0,32.0,45.9316447397,5.69321890072
1079,Champagne-en-Valromey,Auvergne-Rhône-Alpes,61,89,77.0,32.0,45.9316447397,5.69321890072
1079,Champagne-en-Valromey,Auvergne-Rhône-Alpes,61,89,77.0,32.0,45.9316447397,5.69321890072
1080,Champdor-Corcelles,Auvergne-Rhône-Alpes,57,14,48.0,18.0,46.0198844188,5.60008759722
1080,Champdor-Corcelles,Auvergne-Rhône-Alpes,57,14,48.0,18.0,46.0198844188,5.60008759722
1081,Champfromier,Auvergne-Rhône-Alpes,48,22,53.0,23.0,46.220365768,5.82233573131
1082,Chanay,Auvergne-Rhône-Alpes,30,10,32.0,6.0,46.005695299,5.76893393185
1083,Chaneins,Auvergne-Rhône-Alpes,50,16,50.0,13.0,46.0934984191,4.85473364691
1084,Chanoz-Châtenay,Auvergne-Rhône-Alpes,49,19,57.0,15.0,46.1861812234,5.02807719246
1085,La Chapelle-du-Châtelard,Auvergne-Rhône-Alpes,18,8,24.0,7.0,46.0744536905,5.02162055898
1087,Charix,Auvergne-Rhône-Alpes,23,6,23.0,6.0,46.1856344066,5.6811896084
1088,Charnoz-sur-Ain,Auvergne-Rhône-Alpes,45,12,41.0,9.0,45.8736786869,5.2211032563
1089,Château-Gaillard,Auvergne-Rhône-Alpes,123,34,100.0,26.0,45.9730390239,5.30754273532
1090,Châtenay,Auvergne-Rhône-Alpes,27,11,36.0,5.0,46.0259402155,5.2048590395
1092,Châtillon-la-Palud,Auvergne-Rhône-Alpes,113,32,100.0,30.0,45.9748017433,5.2416027725
1093,Châtillon-sur-Chalaronne,Auvergne-Rhône-Alpes,462,381,346.0,172.0,46.1232390685,4.95810003714
1094,Chavannes-sur-Reyssouze,Auvergne-Rhône-Alpes,54,31,49.0,21.0,46.4379785193,5.00693749662
1095,Nivigne et Suran,Auvergne-Rhône-Alpes,46,22,51.0,15.0,46.2750157946,5.41649423093
1096,Chaveyriat,Auvergne-Rhône-Alpes,50,28,57.0,18.0,46.1991513767,5.0564069258
1098,Chazey-Bons,Auvergne-Rhône-Alpes,86,32,80.0,29.0,45.7925770617,5.68477063188
1099,Chazey-sur-Ain,Auvergne-Rhône-Alpes,81,57,90.0,31.0,45.8929448968,5.25528498524
1100,Cheignieu-la-Balme,Auvergne-Rhône-Alpes,12,11,20.0,5.0,45.8227204334,5.6050023969
1101,Chevillard,Auvergne-Rhône-Alpes,7,6,12.0,1.0,46.1103512578,5.58116056005
1102,Chevroux,Auvergne-Rhône-Alpes,41,26,48.0,15.0,46.38249255,4.96288275972
1103,Chevry,Auvergne-Rhône-Alpes,80,28,64.0,12.0,46.283152935,6.04707941462
1104,Chézery-Forens,Auvergne-Rhône-Alpes,27,18,32.0,7.0,46.222573373,5.87248105275
1104,Chézery-Forens,Auvergne-Rhône-Alpes,27,18,32.0,7.0,46.222573373,5.87248105275
1105,Civrieux,Auvergne-Rhône-Alpes,86,25,92.0,24.0,45.922467454,4.88633786877
1106,Cize,Auvergne-Rhône-Alpes,9,14,10.0,7.0,46.2003848172,5.45082526739
1107,Cleyzieu,Auvergne-Rhône-Alpes,11,2,16.0,1.0,45.902146623,5.43272695486
1108,Coligny,Auvergne-Rhône-Alpes,107,107,111.0,48.0,46.3866637865,5.3308227014
1109,Collonges,Auvergne-Rhône-Alpes,92,22,80.0,16.0,46.1419227898,5.90040256654
1110,Colomieu,Auvergne-Rhône-Alpes,13,3,15.0,2.0,45.7361469025,5.62670101041
1111,Conand,Auvergne-Rhône-Alpes,12,3,7.0,6.0,45.8834810846,5.47541328981
1112,Condamine,Auvergne-Rhône-Alpes,13,9,23.0,2.0,46.105831161,5.55568206762
1113,Condeissiat,Auvergne-Rhône-Alpes,42,34,43.0,14.0,46.1538469834,5.08437171701
1114,Confort,Auvergne-Rhône-Alpes,47,43,46.0,25.0,46.1543700156,5.83319395258
1115,Confrançon,Auvergne-Rhône-Alpes,66,28,69.0,13.0,46.270304175,5.05775217893
1116,Contrevoz,Auvergne-Rhône-Alpes,44,20,44.0,15.0,45.8009403071,5.62087768159
1117,Conzieu,Auvergne-Rhône-Alpes,8,8,9.0,0.0,45.7253102173,5.60442351043
1118,Corbonod,Auvergne-Rhône-Alpes,89,58,84.0,28.0,45.9659473187,5.78961970355
1121,Corlier,Auvergne-Rhône-Alpes,5,0,7.0,4.0,46.0336885573,5.49635755029
1123,Cormoranche-sur-Saône,Auvergne-Rhône-Alpes,77,34,81.0,31.0,46.2403530179,4.8276569593
1124,Cormoz,Auvergne-Rhône-Alpes,51,22,52.0,17.0,46.4336632942,5.22181275755
1125,Corveissiat,Auvergne-Rhône-Alpes,38,9,44.0,15.0,46.2505107235,5.47152467919
1127,Courmangoux,Auvergne-Rhône-Alpes,49,19,47.0,12.0,46.3267864521,5.35558241812
1128,Courtes,Auvergne-Rhône-Alpes,25,10,23.0,5.0,46.4570082032,5.11128546723
1129,Crans,Auvergne-Rhône-Alpes,24,15,19.0,7.0,45.9663793103,5.19490390871
1130,Bresse Vallons,Auvergne-Rhône-Alpes,126,39,111.0,29.0,46.3130831891,5.17796707174
1133,Cressin-Rochefort,Auvergne-Rhône-Alpes,33,12,33.0,7.0,45.7826434885,5.76546256637
1134,Crottet,Auvergne-Rhône-Alpes,133,35,132.0,32.0,46.283072336,4.87747971182
1134,Crottet,Auvergne-Rhône-Alpes,133,35,132.0,32.0,46.283072336,4.87747971182
1135,Crozet,Auvergne-Rhône-Alpes,106,24,100.0,13.0,46.2915659686,5.99510417092
1136,Cruzilles-lès-Mépillat,Auvergne-Rhône-Alpes,42,22,61.0,17.0,46.2220588715,4.8752193513
1138,Culoz,Auvergne-Rhône-Alpes,245,110,213.0,77.0,45.8559966843,5.78398308932
1139,Curciat-Dongalon,Auvergne-Rhône-Alpes,43,21,34.0,20.0,46.4885456881,5.16344336837
1140,Curtafond,Auvergne-Rhône-Alpes,54,42,57.0,21.0,46.273150382,5.1020896267
1141,Cuzieu,Auvergne-Rhône-Alpes,36,18,34.0,10.0,45.8200002803,5.6765554896
1142,Dagneux,Auvergne-Rhône-Alpes,270,89,230.0,57.0,45.8531616918,5.07289166803
1143,Divonne-les-Bains,Auvergne-Rhône-Alpes,627,295,461.0,153.0,46.3756333495,6.1158647611
1145,Dompierre-sur-Veyle,Auvergne-Rhône-Alpes,82,27,79.0,16.0,46.0667883703,5.21665199666
1146,Dompierre-sur-Chalaronne,Auvergne-Rhône-Alpes,27,7,29.0,8.0,46.1415406621,4.90141714714
1147,Domsure,Auvergne-Rhône-Alpes,35,16,43.0,11.0,46.4244066427,5.29313479651
1148,Dortan,Auvergne-Rhône-Alpes,131,49,118.0,32.0,46.3133221173,5.64146584117
1149,Douvres,Auvergne-Rhône-Alpes,78,19,81.0,12.0,45.984297392,5.37106901673
1150,Drom,Auvergne-Rhône-Alpes,12,4,11.0,1.0,46.2196603059,5.36799994918
1151,Druillat,Auvergne-Rhône-Alpes,101,36,92.0,34.0,46.067579544,5.29361666429
1152,Échallon,Auvergne-Rhône-Alpes,46,22,54.0,13.0,46.2271364137,5.73330448395
1153,Échenevex,Auvergne-Rhône-Alpes,96,17,107.0,17.0,46.3160845207,6.01926187996
1155,Évosges,Auvergne-Rhône-Alpes,14,4,11.0,2.0,45.965147537,5.50283599885
1156,Faramans,Auvergne-Rhône-Alpes,43,17,36.0,11.0,45.9104942091,5.1249258559
1157,Fareins,Auvergne-Rhône-Alpes,177,56,176.0,34.0,46.020997974,4.7620080898
1158,Farges,Auvergne-Rhône-Alpes,44,21,43.0,16.0,46.166230455,5.90019477201
1159,Feillens,Auvergne-Rhône-Alpes,249,126,245.0,69.0,46.3365833672,4.88507050971
1160,Ferney-Voltaire,Auvergne-Rhône-Alpes,557,171,418.0,117.0,46.2519789243,6.10826403805
1162,Flaxieu,Auvergne-Rhône-Alpes,4,5,5.0,0.0,45.8113298005,5.74459048839
1163,Foissiat,Auvergne-Rhône-Alpes,160,90,158.0,56.0,46.3784759782,5.18483641417
1165,Francheleins,Auvergne-Rhône-Alpes,95,19,86.0,25.0,46.0735946256,4.81293575559
1165,Francheleins,Auvergne-Rhône-Alpes,95,19,86.0,25.0,46.0735946256,4.81293575559
1165,Francheleins,Auvergne-Rhône-Alpes,95,19,86.0,25.0,46.0735946256,4.81293575559
1166,Frans,Auvergne-Rhône-Alpes,161,54,149.0,39.0,45.9939065077,4.78033196905
1167,Garnerans,Auvergne-Rhône-Alpes,47,19,42.0,10.0,46.2136224825,4.82843188743
1169,Genouilleux,Auvergne-Rhône-Alpes,26,7,35.0,6.0,46.1201611728,4.79288195016
1170,Béard-Géovreissiat,Auvergne-Rhône-Alpes,30,13,41.0,9.0,46.1896733539,5.55139781353
1171,Géovreisset,Auvergne-Rhône-Alpes,50,15,47.0,12.0,46.2508621615,5.61271973915
1173,Gex,Auvergne-Rhône-Alpes,486,285,403.0,156.0,46.3471891747,6.04650555568
1174,Giron,Auvergne-Rhône-Alpes,11,3,13.0,3.0,46.2227121191,5.78049809256
1175,Gorrevod,Auvergne-Rhône-Alpes,63,17,61.0,15.0,46.414943437,4.95120595427
1177,Grand-Corent,Auvergne-Rhône-Alpes,17,6,21.0,7.0,46.207387937,5.43318666027
1179,Grièges,Auvergne-Rhône-Alpes,155,72,164.0,43.0,46.2633634407,4.84621318847
1180,Grilly,Auvergne-Rhône-Alpes,64,15,59.0,17.0,46.3318810665,6.11366767978
1181,Groissiat,Auvergne-Rhône-Alpes,91,66,85.0,23.0,46.2260039429,5.61095413441
1183,Guéreins,Auvergne-Rhône-Alpes,100,34,92.0,29.0,46.106624674,4.78159420118
1184,Hautecourt-Romanèche,Auvergne-Rhône-Alpes,61,16,70.0,15.0,46.1611241927,5.42944457639
1184,Hautecourt-Romanèche,Auvergne-Rhône-Alpes,61,16,70.0,15.0,46.1611241927,5.42944457639
1185,Plateau d'Hauteville,Auvergne-Rhône-Alpes,427,361,404.0,173.0,45.9696520061,5.57627261783
1187,Haut Valromey,Auvergne-Rhône-Alpes,57,23,56.0,21.0,46.0317412192,5.70267027388
1187,Haut Valromey,Auvergne-Rhône-Alpes,57,23,56.0,21.0,46.0317412192,5.70267027388
1187,Haut Valromey,Auvergne-Rhône-Alpes,57,23,56.0,21.0,46.0317412192,5.70267027388
1187,Haut Valromey,Auvergne-Rhône-Alpes,57,23,56.0,21.0,46.0317412192,5.70267027388
1188,Illiat,Auvergne-Rhône-Alpes,34,16,32.0,11.0,46.1866986838,4.88840344003
1189,Injoux-Génissiat,Auvergne-Rhône-Alpes,51,19,63.0,13.0,46.0497734524,5.75991363273
1189,Injoux-Génissiat,Auvergne-Rhône-Alpes,51,19,63.0,13.0,46.0497734524,5.75991363273
1190,Innimond,Auvergne-Rhône-Alpes,7,4,12.0,3.0,45.7919647191,5.57389398559
1191,Izenave,Auvergne-Rhône-Alpes,11,4,14.0,6.0,46.0381623415,5.52447901164
1192,Izernore,Auvergne-Rhône-Alpes,140,50,119.0,25.0,46.2179780137,5.56258251719
1193,Izieu,Auvergne-Rhône-Alpes,23,10,20.0,6.0,45.6557496407,5.63909140794
1194,Jassans-Riottier,Auvergne-Rhône-Alpes,505,299,447.0,146.0,45.9777239103,4.75984637871
1195,Jasseron,Auvergne-Rhône-Alpes,115,115,107.0,42.0,46.2150037064,5.31215372338
1196,Jayat,Auvergne-Rhône-Alpes,61,32,63.0,14.0,46.3660828991,5.11429701617
1197,Journans,Auvergne-Rhône-Alpes,31,11,28.0,6.0,46.1464982407,5.33452833151
1198,Joyeux,Auvergne-Rhône-Alpes,14,5,12.0,1.0,45.9499899849,5.10261326872
1199,Jujurieux,Auvergne-Rhône-Alpes,136,103,125.0,45.0,46.0497041467,5.41094771899
1200,Labalme,Auvergne-Rhône-Alpes,17,4,13.0,5.0,46.0932491295,5.49438685213
1202,Lagnieu,Auvergne-Rhône-Alpes,556,275,440.0,156.0,45.8917015798,5.32917518895
1203,Laiz,Auvergne-Rhône-Alpes,90,27,76.0,16.0,46.2469919709,4.89933490972
1204,Le Poizat-Lalleyriat,Auvergne-Rhône-Alpes,44,15,45.0,9.0,46.1479592076,5.71829194244
1204,Le Poizat-Lalleyriat,Auvergne-Rhône-Alpes,44,15,45.0,9.0,46.1479592076,5.71829194244
1206,Lantenay,Auvergne-Rhône-Alpes,20,10,17.0,6.0,46.0544405897,5.54127421165
1207,Lapeyrouse,Auvergne-Rhône-Alpes,11,3,18.0,4.0,45.9859131165,4.98196682865
1208,Lavours,Auvergne-Rhône-Alpes,13,10,14.0,4.0,45.8108837933,5.77267317838
1209,Léaz,Auvergne-Rhône-Alpes,37,16,29.0,10.0,46.1086518044,5.87649017888
1210,Lélex,Auvergne-Rhône-Alpes,11,13,15.0,6.0,46.2855010936,5.92927713771
1211,Lent,Auvergne-Rhône-Alpes,100,40,99.0,22.0,46.1160216305,5.20200684747
1212,Lescheroux,Auvergne-Rhône-Alpes,55,16,50.0,19.0,46.4114892731,5.15107164478
1213,Leyment,Auvergne-Rhône-Alpes,47,26,59.0,11.0,45.9269989549,5.2947657235
1214,Leyssard,Auvergne-Rhône-Alpes,15,2,13.0,2.0,46.1624187428,5.47633297491
1215,Surjoux-Lhopital,Auvergne-Rhône-Alpes,7,4,7.0,5.0,46.0238143134,5.76236736492
1216,Lhuis,Auvergne-Rhône-Alpes,65,55,81.0,31.0,45.7444141403,5.53602066955
1219,Lompnas,Auvergne-Rhône-Alpes,9,7,15.0,4.0,45.8105943351,5.52320457866
1224,Loyettes,Auvergne-Rhône-Alpes,167,56,155.0,37.0,45.7921564114,5.21770971647
1225,Lurcy,Auvergne-Rhône-Alpes,33,8,29.0,7.0,46.061730034,4.78075207026
1227,Magnieu,Auvergne-Rhône-Alpes,51,16,51.0,9.0,45.7754050255,5.71540945601
1228,Maillat,Auvergne-Rhône-Alpes,46,16,45.0,9.0,46.1201642836,5.52854394238
1229,Malafretaz,Auvergne-Rhône-Alpes,92,44,75.0,26.0,46.3295545661,5.14386299599
1230,Mantenay-Montlin,Auvergne-Rhône-Alpes,24,10,33.0,5.0,46.4302754511,5.10675899732
1231,Manziat,Auvergne-Rhône-Alpes,171,54,151.0,43.0,46.3643830585,4.90242777155
1232,Marboz,Auvergne-Rhône-Alpes,178,84,161.0,64.0,46.3434312497,5.24374534963
1233,Marchamp,Auvergne-Rhône-Alpes,9,7,8.0,8.0,45.7738495266,5.54985181107
1234,Marignieu,Auvergne-Rhône-Alpes,15,7,12.0,3.0,45.8010384947,5.71570352924
1235,Marlieux,Auvergne-Rhône-Alpes,60,40,67.0,21.0,46.0549073186,5.0741150816
1236,Marsonnas,Auvergne-Rhône-Alpes,73,29,71.0,16.0,46.3409117711,5.06434294764
1237,Martignat,Auvergne-Rhône-Alpes,90,25,105.0,21.0,46.2030768095,5.61384033805
1238,Massieux,Auvergne-Rhône-Alpes,191,51,181.0,38.0,45.9094016817,4.82779660051
1239,Massignieu-de-Rives,Auvergne-Rhône-Alpes,61,15,60.0,8.0,45.7571503942,5.7620535823
1240,Matafelon-Granges,Auvergne-Rhône-Alpes,36,16,36.0,10.0,46.2565319445,5.53958933702
1240,Matafelon-Granges,Auvergne-Rhône-Alpes,36,16,36.0,10.0,46.2565319445,5.53958933702
1241,Meillonnas,Auvergne-Rhône-Alpes,111,40,109.0,22.0,46.244997627,5.33594738489
1242,Mérignat,Auvergne-Rhône-Alpes,6,2,11.0,0.0,46.0648564341,5.44210660051
1243,Messimy-sur-Saône,Auvergne-Rhône-Alpes,100,22,89.0,19.0,46.0472670758,4.75935643933
1244,Meximieux,Auvergne-Rhône-Alpes,505,326,435.0,126.0,45.9060530318,5.20404833653
1245,Bohas-Meyriat-Rignat,Auvergne-Rhône-Alpes,63,26,75.0,14.0,46.1427060662,5.3780109646
1245,Bohas-Meyriat-Rignat,Auvergne-Rhône-Alpes,63,26,75.0,14.0,46.1427060662,5.3780109646
1245,Bohas-Meyriat-Rignat,Auvergne-Rhône-Alpes,63,26,75.0,14.0,46.1427060662,5.3780109646
1246,Mézériat,Auvergne-Rhône-Alpes,161,64,147.0,45.0,46.2423102101,5.04725416984
1247,Mijoux,Auvergne-Rhône-Alpes,25,2,15.0,5.0,46.3622451724,6.00902631941
1247,Mijoux,Auvergne-Rhône-Alpes,25,2,15.0,5.0,46.3622451724,6.00902631941
1248,Mionnay,Auvergne-Rhône-Alpes,121,26,130.0,25.0,45.8955939299,4.92416967439
1249,Miribel,Auvergne-Rhône-Alpes,599,364,529.0,172.0,45.8442099203,4.94106746787
1249,Miribel,Auvergne-Rhône-Alpes,599,364,529.0,172.0,45.8442099203,4.94106746787
1249,Miribel,Auvergne-Rhône-Alpes,599,364,529.0,172.0,45.8442099203,4.94106746787
1250,Misérieux,Auvergne-Rhône-Alpes,95,36,117.0,24.0,45.9762325343,4.81028471711
1252,Mogneneins,Auvergne-Rhône-Alpes,38,26,47.0,23.0,46.1446696076,4.820110702
1254,Montagnat,Auvergne-Rhône-Alpes,163,29,182.0,23.0,46.1686969123,5.27962107938
1255,Montagnieu,Auvergne-Rhône-Alpes,40,22,36.0,17.0,45.799449019,5.46428608859
1257,Montanges,Auvergne-Rhône-Alpes,18,10,18.0,10.0,46.17325293,5.79006091307
1258,Montceaux,Auvergne-Rhône-Alpes,61,19,72.0,10.0,46.0962893261,4.80453564172
1259,Montcet,Auvergne-Rhône-Alpes,32,12,36.0,8.0,46.219333227,5.11149132074
1260,Le Montellier,Auvergne-Rhône-Alpes,12,3,15.0,8.0,45.9287482486,5.07092815964
1261,Monthieux,Auvergne-Rhône-Alpes,27,18,43.0,11.0,45.9622791838,4.94555984534
1262,Montluel,Auvergne-Rhône-Alpes,439,303,397.0,122.0,45.8909006209,5.01987566185
1262,Montluel,Auvergne-Rhône-Alpes,439,303,397.0,122.0,45.8909006209,5.01987566185
1262,Montluel,Auvergne-Rhône-Alpes,439,303,397.0,122.0,45.8909006209,5.01987566185
1263,Montmerle-sur-Saône,Auvergne-Rhône-Alpes,287,180,285.0,81.0,46.0849573236,4.7608579486
1264,Montracol,Auvergne-Rhône-Alpes,56,32,65.0,15.0,46.1867200301,5.11706011755
1265,Montréal-la-Cluse,Auvergne-Rhône-Alpes,222,92,197.0,60.0,46.1795688194,5.59510550127
1266,Montrevel-en-Bresse,Auvergne-Rhône-Alpes,260,189,212.0,98.0,46.3252811442,5.11295966315
1267,Nurieux-Volognat,Auvergne-Rhône-Alpes,78,21,66.0,13.0,46.1830720992,5.51435812316
1267,Nurieux-Volognat,Auvergne-Rhône-Alpes,78,21,66.0,13.0,46.1830720992,5.51435812316
1268,Murs-et-Gélignieux,Auvergne-Rhône-Alpes,23,10,25.0,4.0,45.6420014274,5.66039684889
1269,Nantua,Auvergne-Rhône-Alpes,224,199,190.0,77.0,46.1537845403,5.61352793799
1269,Nantua,Auvergne-Rhône-Alpes,224,199,190.0,77.0,46.1537845403,5.61352793799
1272,Neuville-les-Dames,Auvergne-Rhône-Alpes,114,93,95.0,38.0,46.1567753049,5.00942432434
1273,Neuville-sur-Ain,Auvergne-Rhône-Alpes,99,44,91.0,39.0,46.0909654813,5.37349784691
